Model,Accuracy,Precision_weighted,Recall_weighted,F1_weighted,F1_macro
Tuned Random Forest,0.27594454533374674,0.28796532639205585,0.27594454533374674,0.260595974293603,0.261817710017229
Random Forest,0.27372990211276965,0.2769469559299607,0.27372990211276965,0.2603015752666345,0.26149511462825853
Decision Tree,0.1884661381051512,0.1896203577649581,0.1884661381051512,0.1843498245293988,0.1852369023371786
KNN,0.1658324843867653,0.1870642651516208,0.1658324843867653,0.1605709500968428,0.1616203067490489
Neural Network,0.1765070647118749,0.1480717886184324,0.1765070647118749,0.14707787463641228,0.14770820802699214
Logistic Regression,0.1505957390264428,0.1200271020812176,0.1505957390264428,0.1222123656058452,0.1226715388312412
