Model,Accuracy,Precision_weighted,Recall_weighted,F1_weighted,F1_macro
Decision Tree,0.18846613810515125,0.1896203577649581,0.18846613810515125,0.18434982452939883,0.18523690233717868
KNN,0.1658324843867653,0.18706426515162083,0.1658324843867653,0.16057095009684286,0.16162030674904895
Logistic Regression,0.15059573902644283,0.12002710208121761,0.15059573902644283,0.12221236560584525,0.12267153883124123
