Model,Accuracy,Precision_weighted,Recall_weighted,F1_weighted,F1_macro
Tuned Random Forest,0.27594454533374674,0.28796532639205585,0.27594454533374674,0.260595974293603,0.261817710017229
Random Forest,0.27372990211276965,0.2769469559299607,0.27372990211276965,0.2603015752666345,0.26149511462825853
Neural Network,0.1765070647118749,0.1480717886184324,0.1765070647118749,0.14707787463641228,0.14770820802699214
