Feature,Importance
tempo,0.10909137240321971
acousticness,0.10682684770888722
speechiness,0.10583999045173863
danceability,0.10527705584183916
valence,0.104883196134003
loudness,0.10364807100872347
energy,0.09998401566328145
liveness,0.09380842489494406
instrumentalness,0.07737882250615007
key,0.06380607434276254
mode,0.017616242107999936
time_signature,0.011839886936450654
